Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Ptrh1;0.000399;Atg4d;0.046274;;;Gm16880;0.048408;Epn3;0.022931;;;;;Gpr141;0.007025;Igf1r;0.041433
Pxylp1;0.000399;Acap3;0.046274;;;Utp15;0.048408;Spata5;0.023291;;;;;Lsm10;0.007128;Eif4e3;0.041485
Pycr1;0.000399;Tjp3;0.046274;;;Senp7;0.049461;Acyp2;0.025045;;;;;Slamf9;0.007249;Snai2;0.041485
Rassf10;0.000399;Ssx2ip;0.046274;;;Gna13;0.049796;Phf2;0.025279;;;;;Fgfr1op2;0.007395;Cldn25;0.04196
Rgs11;0.000399;Slc46a1;0.046274;;;Trmt2a;0.04981;Cables2;0.026042;;;;;Hmha1;0.007577;Zfp516;0.042051
Rnf208;0.000399;Zfp346;0.046274;;;;;Slc25a13;0.026164;;;;;Rin3;0.007605;2810403A07Rik;0.042743
Ropn1l;0.000399;Spc24;0.047138;;;;;Ctdp1;0.026164;;;;;Ticam2;0.007742;Ranbp9;0.043604
Scrn2;0.000399;Gltp;0.047725;;;;;Mpzl2;0.026164;;;;;Tmem191c;0.007742;Daam2;0.044399
Sec16b;0.000399;Trim44;0.047756;;;;;Prpf18;0.02627;;;;;Tnfsf8;0.007742;C230091D08Rik;0.044399
Shisa3;0.000399;Gpr137b-ps;0.047946;;;;;Rbm4;0.026456;;;;;Trpc6;0.007742;Ikbip;0.044623
Slc25a35;0.000399;Prpf38b;0.048468;;;;;Tmem206;0.027307;;;;;Zfp709;0.007742;Haus6;0.045069
Fsd1;0.000399;Ptgr1;0.049546;;;;;Degs1;0.027509;;;;;Mkln1os;0.007742;Tmem246;0.045069
Fuk;0.000399;Slc44a3;0.049546;;;;;St14;0.027618;;;;;Mrgpra9;0.007742;Ifi27;0.045081
Gas2;0.000399;;;;;;;Npas2;0.02825;;;;;Olfr1441;0.007742;Col11a1;0.045138
Gm14446;0.000399;;;;;;;Crnde;0.02825;;;;;Olfr655;0.007742;Cyp2e1;0.045138
Gm3417;0.000399;;;;;;;Smad6;0.02825;;;;;Padi2;0.007742;Rab6b;0.045138
Gm3448;0.000399;;;;;;;Hgsnat;0.02825;;;;;Pdcd1lg2;0.007742;Rgs6;0.045138
Ssc5d;0.000399;;;;;;;Ranbp6;0.028445;;;;;Plet1os;0.007742;Rnd2;0.045138
Syt10;0.000399;;;;;;;Gm14634;0.028445;;;;;Ptgir;0.007742;Slc16a4;0.045138
Vash2;0.000399;;;;;;;Pfkfb4;0.028564;;;;;Raver2;0.007742;Slc2a13;0.045138
Wbscr17;0.000399;;;;;;;Atf6b;0.029488;;;;;Rwdd2a;0.007742;Socs4;0.045138
Wdr65;0.000399;;;;;;;D030028A08Rik;0.02977;;;;;Samd15;0.007742;St3gal3;0.045138
Wnk2;0.000399;;;;;;;Fdxacb1;0.02977;;;;;Scg3;0.007742;Timp1;0.045138
Zfp54;0.000399;;;;;;;Cdk18;0.02977;;;;;Sgms2;0.007742;Zfp553;0.045138
Zfpm2;0.000399;;;;;;;Meis3;0.02977;;;;;Shcbp1l;0.007742;Lrsam1;0.045138
Ect2l;0.000399;;;;;;;Klf16;0.02977;;;;;Caskin1;0.007742;Map4k1;0.045138
F630111L10Rik;0.000399;;;;;;;B330016D10Rik;0.02977;;;;;Ccl25;0.007742;Mlst8;0.045138
Lum;0.000399;;;;;;;Zfp51;0.02977;;;;;Ccr10;0.007742;Mrgprf;0.045138
Ly6i;0.000399;;;;;;;Yae1d1;0.030151;;;;;Cd300lh;0.007742;Mtmr9;0.045138
Mipol1;0.000399;;;;;;;Zfp777;0.031042;;;;;Celsr3;0.007742;Neurl2;0.045138
Mospd4;0.000399;;;;;;;Nus1;0.031489;;;;;Cep72;0.007742;Nipal4;0.045138
Mtfr2;0.000399;;;;;;;Fbxw5;0.031825;;;;;Clec4a4;0.007742;Nrip2;0.045138
Nek2;0.000399;;;;;;;Dennd2d;0.03311;;;;;Clstn2;0.007742;Osr1;0.045138
Nlgn3;0.000399;;;;;;;Crlf1;0.034058;;;;;Cpeb1;0.007742;Dbr1;0.045138
Pbx4;0.000399;;;;;;;Dtx2;0.034058;;;;;Crtam;0.007742;Dusp27;0.045138
Pcsk4;0.000399;;;;;;;Rnf43;0.036134;;;;;Csprs;0.007742;F8a;0.045138
Pdgfrl;0.000399;;;;;;;Susd4;0.036134;;;;;D030047H15Rik;0.007742;Fam195a;0.045138
Pigw;0.000399;;;;;;;Cpsf3;0.036227;;;;;Dact1;0.007742;Trim68;0.045138
Sptlc3;0.000399;;;;;;;Plekhf2;0.037178;;;;;E230016K23Rik;0.007742;1500015A07Rik;0.045138
Srd5a1;0.000399;;;;;;;E2f2;0.037611;;;;;Slc29a2;0.007742;1700086O06Rik;0.045138
Adora2b;0.000399;;;;;;;Max;0.038621;;;;;Slc46a3;0.007742;3110057O12Rik;0.045138
Agtr2;0.000399;;;;;;;Crem;0.040785;;;;;Slc6a4;0.007742;4631405J19Rik;0.045138
Art4;0.000399;;;;;;;Eml6;0.040814;;;;;Snord22;0.007742;5730409E04Rik;0.045138
Bmp8b;0.000399;;;;;;;Armcx5;0.040814;;;;;Snord47;0.007742;9430091E24Rik;0.045138
C8g;0.000399;;;;;;;Loh12cr1;0.04286;;;;;Spata45;0.007742;AB041803;0.045138
Calr3;0.000399;;;;;;;4933411K20Rik;0.043153;;;;;Spn;0.007742;AI414108;0.045138
Cbr3;0.000399;;;;;;;Coq6;0.043327;;;;;4833418N02Rik;0.007742;Adra2b;0.045138
Ccdc114;0.000399;;;;;;;Lman1;0.043409;;;;;A230056J06Rik;0.007742;Artn;0.045138
Ccdc166;0.000399;;;;;;;Fyttd1;0.043849;;;;;A330040F15Rik;0.007742;BC052040;0.045138
Ccdc19;0.000399;;;;;;;1700030K09Rik;0.044579;;;;;A530064D06Rik;0.007742;BC065397;0.045138
Cdhr3;0.000399;;;;;;;Keap1;0.046364;;;;;Abhd3;0.007742;C030034I22Rik;0.045138
Cep131;0.000399;;;;;;;Gnptab;0.046364;;;;;Acot11;0.007742;Six5;0.046328
Col6a5;0.000399;;;;;;;Ddx19b;0.049279;;;;;Acrbp;0.007742;Cct6a;0.047293
Cyb5rl;0.000399;;;;;;;Snhg10;0.049279;;;;;Alpk2;0.007742;Acsl3;0.048108
Cysltr1;0.000399;;;;;;;9130401M01Rik;0.049279;;;;;Aoah;0.007742;Uhrf1;0.048108
Dnah1;0.000399;;;;;;;1700049G17Rik;0.049279;;;;;Arrdc2;0.007742;Fam220a;0.048108
Dnah7a;0.000399;;;;;;;AI846148;0.049279;;;;;Astl;0.007742;Zfp608;0.048133
Gpr44;0.000399;;;;;;;;;;;;;B230216G23Rik;0.007742;Bicd2;0.048602
Guca1b;0.000399;;;;;;;;;;;;;BC055324;0.007742;Pdgfra;0.048903
Hirip3;0.000399;;;;;;;;;;;;;Fam162b;0.007742;Fut8;0.049062
Itga2b;0.000399;;;;;;;;;;;;;Fam178b;0.007742;Nt5e;0.049222
Khdrbs3;0.000399;;;;;;;;;;;;;Fam203a;0.007742;Dnmt3a;0.049317
1110006O24Rik;0.000399;;;;;;;;;;;;;Fam83f;0.007742;Kbtbd3;0.049786
1700018A04Rik;0.000399;;;;;;;;;;;;;Fbxl15;0.007742;Slc20a1;0.049786
2310007L24Rik;0.000399;;;;;;;;;;;;;Fbxo31;0.007742;;
4930404N11Rik;0.000399;;;;;;;;;;;;;Fcna;0.007742;;
4930412C18Rik;0.000399;;;;;;;;;;;;;G730013B05Rik;0.007742;;
4930444P10Rik;0.000399;;;;;;;;;;;;;Gk5;0.007742;;
4930451G09Rik;0.000399;;;;;;;;;;;;;Gm11545;0.007742;;
4930562C15Rik;0.000399;;;;;;;;;;;;;Gm13238;0.007742;;
9130221H12Rik;0.000399;;;;;;;;;;;;;Gm15987;0.007742;;
9530077C05Rik;0.000399;;;;;;;;;;;;;Gm16675;0.007742;;
Abcb6;0.000399;;;;;;;;;;;;;Gm4832;0.007742;;
Adat3;0.000399;;;;;;;;;;;;;Gm6116;0.007742;;
Ppfia2;0.000399;;;;;;;;;;;;;Gm9733;0.007742;;
Ppp1r3d;0.000399;;;;;;;;;;;;;Gpr20;0.007742;;
Slc7a6;0.00049;;;;;;;;;;;;;H2-Oa;0.007742;;
Rpp38;0.00049;;;;;;;;;;;;;Hcn3;0.007742;;
Itpk1;0.000503;;;;;;;;;;;;;Higd1b;0.007742;;
Zfp41;0.000503;;;;;;;;;;;;;Hist1h2bf;0.007742;;
9430016H08Rik;0.000503;;;;;;;;;;;;;Hist1h2bm;0.007742;;
Hnf1b;0.000503;;;;;;;;;;;;;Hist1h4i;0.007742;;
Utp6;0.00059;;;;;;;;;;;;;Hist2h4;0.007742;;
Bag2;0.00059;;;;;;;;;;;;;Hyal5;0.007742;;
Hsph1;0.000632;;;;;;;;;;;;;Ido2;0.007742;;
Ccpg1os;0.000632;;;;;;;;;;;;;Il27;0.007742;;
Nsun7;0.000632;;;;;;;;;;;;;Inca1;0.007742;;
Ccdc157;0.000643;;;;;;;;;;;;;Mir3535;0.007742;;
2700097O09Rik;0.000643;;;;;;;;;;;;;Mir6398;0.007742;;
Smim22;0.000643;;;;;;;;;;;;;Sema4a;0.007984;;
Gm16907;0.000643;;;;;;;;;;;;;Nlrx1;0.007984;;
Tmem53;0.000653;;;;;;;;;;;;;Zfp142;0.007984;;
Lrrc28;0.000653;;;;;;;;;;;;;Sulf2;0.008034;;
Plxna3;0.000669;;;;;;;;;;;;;Clta;0.008097;;
Rwdd2b;0.000669;;;;;;;;;;;;;Aebp2;0.008097;;
Fhl2;0.000669;;;;;;;;;;;;;Elmo2;0.008254;;
Fxyd6;0.000669;;;;;;;;;;;;;Mapkapk2;0.008368;;
Plat;0.000669;;;;;;;;;;;;;Pqlc3;0.008368;;
2010204K13Rik;0.000669;;;;;;;;;;;;;Nmt1;0.008443;;
1700052K11Rik;0.000669;;;;;;;;;;;;;Il17ra;0.008755;;
Gm7173;0.000669;;;;;;;;;;;;;Tnfrsf21;0.008873;;
Ap3m2;0.000669;;;;;;;;;;;;;Plagl2;0.008884;;
Aifm3;0.000669;;;;;;;;;;;;;Rgs19;0.008936;;
Nudt15;0.000669;;;;;;;;;;;;;Vdr;0.009005;;
Loxl4;0.000669;;;;;;;;;;;;;Sowahc;0.009232;;
Tmem125;0.000669;;;;;;;;;;;;;Rab35;0.009232;;
Grip1;0.000669;;;;;;;;;;;;;Mob1a;0.009349;;
Rab23;0.000748;;;;;;;;;;;;;Plaur;0.009367;;
Dusp18;0.000807;;;;;;;;;;;;;Arhgdia;0.009417;;
Retsat;0.000807;;;;;;;;;;;;;Trafd1;0.009734;;
Adck4;0.000807;;;;;;;;;;;;;Zfp97;0.009832;;
Ect2;0.000807;;;;;;;;;;;;;Vac14;0.009832;;
Tmem161a;0.000944;;;;;;;;;;;;;Slc22a17;0.009832;;
Steap2;0.000944;;;;;;;;;;;;;Samd8;0.009876;;
Ccdc181;0.001026;;;;;;;;;;;;;Trim30a;0.009907;;
Mapre3;0.001026;;;;;;;;;;;;;Kars;0.009921;;
Rmnd5b;0.001149;;;;;;;;;;;;;Casp1;0.010253;;
LOC100504703;0.001187;;;;;;;;;;;;;Per1;0.010314;;
Lrrc51;0.001187;;;;;;;;;;;;;Glrx;0.010484;;
Bnip1;0.001299;;;;;;;;;;;;;Gins4;0.010587;;
Blzf1;0.001299;;;;;;;;;;;;;Nptn;0.010745;;
Rpgrip1l;0.001319;;;;;;;;;;;;;Calr;0.010846;;
Orai2;0.001381;;;;;;;;;;;;;Kctd12b;0.010955;;
Tmem65;0.001381;;;;;;;;;;;;;Psmg4;0.011149;;
Morn2;0.001381;;;;;;;;;;;;;Sec11a;0.011164;;
Katnb1;0.001486;;;;;;;;;;;;;Ms4a6b;0.011369;;
Cbll1;0.001486;;;;;;;;;;;;;Gpr65;0.011369;;
Ptdss2;0.001486;;;;;;;;;;;;;Nat10;0.011369;;
Hspa4l;0.001486;;;;;;;;;;;;;Lpl;0.011453;;
Tppp3;0.001489;;;;;;;;;;;;;Fen1;0.012157;;
Hspa2;0.001489;;;;;;;;;;;;;Cdkn1a;0.012268;;
Ttbk2;0.001636;;;;;;;;;;;;;Dpp8;0.01247;;
Pfn2;0.001636;;;;;;;;;;;;;Kat7;0.01249;;
Pla2g4a;0.001637;;;;;;;;;;;;;Gyk;0.012496;;
Hs6st1;0.001637;;;;;;;;;;;;;Usf2;0.012496;;
Narfl;0.001637;;;;;;;;;;;;;Hoxa5;0.012576;;
Tcea3;0.001747;;;;;;;;;;;;;Cib1;0.012665;;
Cyb561;0.001747;;;;;;;;;;;;;Arhgap4;0.012741;;
Fbxw9;0.001754;;;;;;;;;;;;;Lilra6;0.012741;;
Fbxo32;0.001821;;;;;;;;;;;;;Itgam;0.012741;;
2210408I21Rik;0.001821;;;;;;;;;;;;;Cidec;0.012927;;
1700094D03Rik;0.00186;;;;;;;;;;;;;Bank1;0.012927;;
Dzip1l;0.002021;;;;;;;;;;;;;Hpgds;0.012927;;
Spon2;0.002021;;;;;;;;;;;;;Nlrc5;0.012927;;
3110082I17Rik;0.002021;;;;;;;;;;;;;Fcrls;0.012927;;
Irx5;0.002053;;;;;;;;;;;;;Nkrf;0.012927;;
2610034B18Rik;0.002143;;;;;;;;;;;;;Pld3;0.01316;;
Aebp1;0.002143;;;;;;;;;;;;;Psme3;0.013184;;
Gphn;0.002257;;;;;;;;;;;;;Cap1;0.013531;;
Siae;0.002298;;;;;;;;;;;;;Actr3;0.013594;;
Stk19;0.002563;;;;;;;;;;;;;Hltf;0.014246;;
Hmgn3;0.002563;;;;;;;;;;;;;Eme1;0.014255;;
Lgalsl;0.002563;;;;;;;;;;;;;Iqce;0.014255;;
Zfp839;0.002563;;;;;;;;;;;;;Tfpt;0.014255;;
Hmgcll1;0.002618;;;;;;;;;;;;;Tcof1;0.014412;;
Smim6;0.002618;;;;;;;;;;;;;Uba5;0.014608;;
Rab3ip;0.002618;;;;;;;;;;;;;Ssh1;0.014608;;
BC005624;0.002671;;;;;;;;;;;;;Mta2;0.014718;;
Gprasp1;0.002728;;;;;;;;;;;;;Epn1;0.014817;;
Cdon;0.00284;;;;;;;;;;;;;Ifitm6;0.01499;;
Exosc4;0.003047;;;;;;;;;;;;;Casp4;0.01499;;
Cc2d2a;0.003097;;;;;;;;;;;;;Tbc1d2;0.015042;;
Dock7;0.003196;;;;;;;;;;;;;Ss18l1;0.015042;;
Arl13b;0.003264;;;;;;;;;;;;;Srxn1;0.015042;;
Rxra;0.003264;;;;;;;;;;;;;Fcgr4;0.015042;;
Trim2;0.003287;;;;;;;;;;;;;Slc5a6;0.015042;;
Tbcc;0.003406;;;;;;;;;;;;;H2-Ab1;0.015042;;
Gm20337;0.003406;;;;;;;;;;;;;Dhrs13;0.015042;;
Ttc26;0.003406;;;;;;;;;;;;;Nfatc2;0.015042;;
Telo2;0.003406;;;;;;;;;;;;;Smchd1;0.015778;;
Zbtb49;0.003406;;;;;;;;;;;;;Cpsf4;0.015897;;
E4f1;0.003406;;;;;;;;;;;;;Map3k5;0.015929;;
Fam83b;0.003406;;;;;;;;;;;;;Uqcrfs1;0.016192;;
Med9os;0.003406;;;;;;;;;;;;;Slc29a1;0.016207;;
Medag;0.003406;;;;;;;;;;;;;Stk4;0.016207;;
Nat8l;0.003406;;;;;;;;;;;;;Anln;0.01623;;
Adgb;0.003406;;;;;;;;;;;;;Stard5;0.01623;;
Casc1;0.003406;;;;;;;;;;;;;Acss1;0.016324;;
Ccdc112;0.003406;;;;;;;;;;;;;Map3k3;0.016838;;
Ctsk;0.003406;;;;;;;;;;;;;Whsc1;0.017061;;
Daw1;0.003406;;;;;;;;;;;;;Bcl2a1c;0.017448;;
Dlgap5;0.003406;;;;;;;;;;;;;Thnsl1;0.017448;;
Dnaic1;0.003406;;;;;;;;;;;;;Akap14;0.017448;;
Hsf5;0.003406;;;;;;;;;;;;;Nrm;0.017482;;
4930513N10Rik;0.003406;;;;;;;;;;;;;Srrd;0.017751;;
A230050P20Rik;0.003406;;;;;;;;;;;;;Ndfip2;0.017813;;
AU040972;0.003406;;;;;;;;;;;;;Dcaf7;0.017875;;
Abca6;0.003406;;;;;;;;;;;;;Eno1;0.017978;;
Ptger3;0.003406;;;;;;;;;;;;;Bnip2;0.017978;;
Pygo1;0.003406;;;;;;;;;;;;;Naa60;0.018224;;
Rassf6;0.003406;;;;;;;;;;;;;Serp1;0.018253;;
Rbpms2;0.003406;;;;;;;;;;;;;Ltc4s;0.01845;;
Rgs9;0.003406;;;;;;;;;;;;;Pik3r5;0.01845;;
Vps37b;0.003494;;;;;;;;;;;;;Zdhhc13;0.019158;;
Cluap1;0.003719;;;;;;;;;;;;;Taf6l;0.019757;;
Isyna1;0.003719;;;;;;;;;;;;;Ppp6r1;0.020421;;
Cadps2;0.003811;;;;;;;;;;;;;Hvcn1;0.020421;;
A330021E22Rik;0.003811;;;;;;;;;;;;;Mrpl36;0.020621;;
Galk1;0.003864;;;;;;;;;;;;;Trim12c;0.021155;;
Lca5;0.003937;;;;;;;;;;;;;Bre;0.021409;;
Rsph3a;0.003937;;;;;;;;;;;;;Eif4g3;0.021636;;
Uty;0.003946;;;;;;;;;;;;;Slc16a3;0.021953;;
Ccdc104;0.003958;;;;;;;;;;;;;Wfdc17;0.022568;;
Kif3b;0.00428;;;;;;;;;;;;;C330006A16Rik;0.0227;;
Toe1;0.00428;;;;;;;;;;;;;Manf;0.022985;;
Odf2l;0.004369;;;;;;;;;;;;;Eif4ebp3;0.023013;;
Dlg3;0.00452;;;;;;;;;;;;;Mcm3;0.023013;;
D3Ertd751e;0.00452;;;;;;;;;;;;;Sc4mol;0.023059;;
Pcnxl4;0.00452;;;;;;;;;;;;;Ankhd1;0.02313;;
Ankrd32;0.004531;;;;;;;;;;;;;Aprt;0.023345;;
1810019D21Rik;0.004531;;;;;;;;;;;;;Slc29a3;0.023452;;
Wdr35;0.004531;;;;;;;;;;;;;Ddx39;0.023452;;
Tmco3;0.004531;;;;;;;;;;;;;Rhog;0.024164;;
Pgpep1;0.004531;;;;;;;;;;;;;Capn6;0.024654;;
Tmem129;0.004652;;;;;;;;;;;;;Tal1;0.025141;;
Tcirg1;0.004652;;;;;;;;;;;;;Ralb;0.025163;;
Nfs1;0.004722;;;;;;;;;;;;;Fam111a;0.025203;;
Rps19bp1;0.004731;;;;;;;;;;;;;Timm8b;0.026214;;
Tmem79;0.004859;;;;;;;;;;;;;C2cd2;0.026715;;
Eno2;0.004859;;;;;;;;;;;;;Nceh1;0.026999;;
Misp;0.004859;;;;;;;;;;;;;Commd3;0.027251;;
Ndrg4;0.004859;;;;;;;;;;;;;Cd300lb;0.027373;;
Nfe2;0.004859;;;;;;;;;;;;;Spty2d1;0.027488;;
Pde1c;0.004859;;;;;;;;;;;;;Ddx18;0.027896;;
Gm6213;0.004859;;;;;;;;;;;;;Agps;0.027998;;
Kif2c;0.004859;;;;;;;;;;;;;Whsc1l1;0.028386;;
1700008J07Rik;0.004859;;;;;;;;;;;;;Psmb3;0.028532;;
5730559C18Rik;0.004859;;;;;;;;;;;;;Arpc2;0.028634;;
Ptpro;0.004859;;;;;;;;;;;;;Mpp1;0.028662;;
Fkbpl;0.004859;;;;;;;;;;;;;Arl16;0.029389;;
Hist1h3c;0.004859;;;;;;;;;;;;;Uchl3;0.029432;;
Iqcg;0.005148;;;;;;;;;;;;;Nmral1;0.030086;;
Gnal;0.00537;;;;;;;;;;;;;Trim6;0.030086;;
Ruvbl1;0.00537;;;;;;;;;;;;;Kynu;0.030086;;
Gpr137;0.00537;;;;;;;;;;;;;Fanci;0.030086;;
Gm6710;0.005616;;;;;;;;;;;;;Tnip2;0.030086;;
Cep290;0.0058;;;;;;;;;;;;;Slc9a9;0.030086;;
Top3b;0.0058;;;;;;;;;;;;;Rad51b;0.030086;;
Rsph3b;0.005973;;;;;;;;;;;;;Tnfrsf11a;0.030086;;
Cry2;0.006027;;;;;;;;;;;;;Zbtb42;0.030086;;
Irak2;0.006344;;;;;;;;;;;;;Gtf3c5;0.030178;;
Sbf1;0.006425;;;;;;;;;;;;;Atic;0.030178;;
Ccng1;0.006425;;;;;;;;;;;;;Pla2g7;0.030178;;
Erbb2;0.006758;;;;;;;;;;;;;Vps37c;0.030178;;
Cstf2;0.006758;;;;;;;;;;;;;Capn12;0.030911;;
Bcl2l12;0.006758;;;;;;;;;;;;;Zbtb34;0.031228;;
Tpgs2;0.006806;;;;;;;;;;;;;Ski;0.031577;;
Prmt2;0.007037;;;;;;;;;;;;;Atp6v1e1;0.032227;;
Tti1;0.007037;;;;;;;;;;;;;Scap;0.032342;;
Wdr92;0.007158;;;;;;;;;;;;;Zfp69;0.033146;;
Nin;0.007347;;;;;;;;;;;;;1810022K09Rik;0.033849;;
Fsd1l;0.007471;;;;;;;;;;;;;Rgs1;0.033935;;
Serf1;0.007508;;;;;;;;;;;;;Cenpo;0.033935;;
Mdm1;0.007508;;;;;;;;;;;;;Poc1a;0.033937;;
Dos;0.007732;;;;;;;;;;;;;Ms4a4c;0.033937;;
Sec14l3;0.008014;;;;;;;;;;;;;Yy2;0.033937;;
Pdxk;0.008035;;;;;;;;;;;;;Zmat3;0.033937;;
Klf5;0.008035;;;;;;;;;;;;;Gm18853;0.033937;;
Rabl2;0.008035;;;;;;;;;;;;;Gm17757;0.033937;;
Nrk;0.008042;;;;;;;;;;;;;2310036O22Rik;0.033963;;
Cox6b2;0.008193;;;;;;;;;;;;;Ptpra;0.034047;;
Gbf1;0.008218;;;;;;;;;;;;;Dcp2;0.034122;;
Cep83;0.008373;;;;;;;;;;;;;Gtf3a;0.03426;;
Pisd;0.008744;;;;;;;;;;;;;Rnf217;0.034487;;
Cetn2;0.008836;;;;;;;;;;;;;Stat1;0.034975;;
Adrbk1;0.008876;;;;;;;;;;;;;Fbxw11;0.035528;;
Arf2;0.008876;;;;;;;;;;;;;Pik3cg;0.035865;;
Nr2c1;0.0091;;;;;;;;;;;;;Tstd3;0.035865;;
Lrrfip2;0.009488;;;;;;;;;;;;;Atp1a1;0.036119;;
Dnajb14;0.009519;;;;;;;;;;;;;Pprc1;0.036448;;
2810403D21Rik;0.009519;;;;;;;;;;;;;Commd9;0.036852;;
Ccdc18;0.009519;;;;;;;;;;;;;Vcpip1;0.037293;;
Vrk1;0.010093;;;;;;;;;;;;;2310001H17Rik;0.038186;;
Dynlt1b;0.010223;;;;;;;;;;;;;Poli;0.038186;;
Gon4l;0.010248;;;;;;;;;;;;;Ndufb7;0.039048;;
Cgrrf1;0.010266;;;;;;;;;;;;;Sgpp1;0.039135;;
Kcnab2;0.010309;;;;;;;;;;;;;Rilpl2;0.039135;;
Ift122;0.010309;;;;;;;;;;;;;Slc3a2;0.039438;;
2310040G24Rik;0.010309;;;;;;;;;;;;;Magohb;0.039859;;
4632434I11Rik;0.010309;;;;;;;;;;;;;Lamtor2;0.040646;;
Atp6v0e2;0.010309;;;;;;;;;;;;;Baz1a;0.041273;;
Bloc1s5;0.010309;;;;;;;;;;;;;Pdf;0.041328;;
Cables1;0.010309;;;;;;;;;;;;;Slc9a6;0.041328;;
Ccbl2;0.010309;;;;;;;;;;;;;Mbd2;0.041455;;
Prom1;0.010309;;;;;;;;;;;;;1190002N15Rik;0.042644;;
Pvrl4;0.010309;;;;;;;;;;;;;Csgalnact2;0.042661;;
Rspo1;0.010309;;;;;;;;;;;;;Star;0.042859;;
Serpinc1;0.010309;;;;;;;;;;;;;Ndc80;0.042859;;
Sgol2;0.010309;;;;;;;;;;;;;Irgq;0.042859;;
Slc1a4;0.010309;;;;;;;;;;;;;Palb2;0.042859;;
Snhg11;0.010309;;;;;;;;;;;;;Ctif;0.042859;;
Spink2;0.010309;;;;;;;;;;;;;2900008C10Rik;0.042859;;
Fignl1;0.010309;;;;;;;;;;;;;Cyb5r4;0.043759;;
Gabrb2;0.010309;;;;;;;;;;;;;Ptp4a3;0.044041;;
Gins1;0.010309;;;;;;;;;;;;;Tmem63a;0.044218;;
Zscan12;0.010309;;;;;;;;;;;;;Vps37a;0.044513;;
Ncs1;0.010309;;;;;;;;;;;;;Plac8;0.044857;;
Nphp3;0.010309;;;;;;;;;;;;;Pml;0.044857;;
Nrg4;0.010309;;;;;;;;;;;;;Cdc42se2;0.044879;;
Paqr6;0.010309;;;;;;;;;;;;;Rfwd3;0.044879;;
Sulf1;0.010309;;;;;;;;;;;;;Pgk1;0.045285;;
Tbc1d22b;0.010309;;;;;;;;;;;;;Mrpl35;0.045982;;
Ttc39a;0.010309;;;;;;;;;;;;;Ebpl;0.046403;;
Whrn;0.010309;;;;;;;;;;;;;Sh3bp1;0.046403;;
Wnk4;0.010309;;;;;;;;;;;;;Dusp22;0.04686;;
Zbtb25;0.010309;;;;;;;;;;;;;Eif1ad;0.047331;;
Chaf1a;0.010309;;;;;;;;;;;;;Rad51ap1;0.047983;;
Clec5a;0.010309;;;;;;;;;;;;;Nudt22;0.048624;;
Cmpk2;0.010309;;;;;;;;;;;;;Traf3;0.048864;;
Efcab2;0.010309;;;;;;;;;;;;;Gpr108;0.049694;;
Ern1;0.010309;;;;;;;;;;;;;;;;
Faah;0.010309;;;;;;;;;;;;;;;;
Fam227a;0.010309;;;;;;;;;;;;;;;;
Lck;0.010309;;;;;;;;;;;;;;;;
Mfsd6l;0.010309;;;;;;;;;;;;;;;;
Naprt1;0.010309;;;;;;;;;;;;;;;;
Kif24;0.010309;;;;;;;;;;;;;;;;
Exoc8;0.01053;;;;;;;;;;;;;;;;
Atrn;0.010666;;;;;;;;;;;;;;;;
Strn4;0.010675;;;;;;;;;;;;;;;;
Csad;0.010779;;;;;;;;;;;;;;;;
Sccpdh;0.010804;;;;;;;;;;;;;;;;
Zfp275;0.010951;;;;;;;;;;;;;;;;
Igsf3;0.011002;;;;;;;;;;;;;;;;
Ash2l;0.011002;;;;;;;;;;;;;;;;
Stat5a;0.011002;;;;;;;;;;;;;;;;
Ramp1;0.011015;;;;;;;;;;;;;;;;
Gm5803;0.011029;;;;;;;;;;;;;;;;
Dync2h1;0.011205;;;;;;;;;;;;;;;;
Fam199x;0.01162;;;;;;;;;;;;;;;;
Gns;0.01162;;;;;;;;;;;;;;;;
Mrps17;0.011727;;;;;;;;;;;;;;;;
Hmcn1;0.011862;;;;;;;;;;;;;;;;
Cdkn1c;0.011862;;;;;;;;;;;;;;;;
Cntd1;0.011978;;;;;;;;;;;;;;;;
Ndufaf3;0.011978;;;;;;;;;;;;;;;;
Ezr;0.012029;;;;;;;;;;;;;;;;
Cbx6;0.012179;;;;;;;;;;;;;;;;
Krt8;0.012179;;;;;;;;;;;;;;;;
Pld1;0.012302;;;;;;;;;;;;;;;;
Unc119b;0.012302;;;;;;;;;;;;;;;;
Ston2;0.012302;;;;;;;;;;;;;;;;
Cep63;0.012482;;;;;;;;;;;;;;;;
Nek1;0.012482;;;;;;;;;;;;;;;;
Pspc1;0.012482;;;;;;;;;;;;;;;;
Lcorl;0.01253;;;;;;;;;;;;;;;;
Eci2;0.012547;;;;;;;;;;;;;;;;
Gnpnat1;0.012719;;;;;;;;;;;;;;;;
Spint2;0.012845;;;;;;;;;;;;;;;;
Bphl;0.013343;;;;;;;;;;;;;;;;
2310010J17Rik;0.013563;;;;;;;;;;;;;;;;
