Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Spag17;0;Ccdc88c;0.002021;Ddx11;0.002688;Cdk6;0.001298;Piwil4;0.000453;Fopnl;0.00294;Hsdl2;0.003942;AI662270;0.000064;Gpc6;0.000805
Spag6;0;Arc;0.002053;Pcdh17;0.002744;Sema3e;0.001495;Trpv6;0.000464;Adamts1;0.003113;Zfp580;0.004092;Myo7a;0.000064;Casq1;0.000805
Spag8;0;Tspyl5;0.002143;Reep1;0.002824;4933426M11Rik;0.001533;Zfp607;0.000464;Agl;0.003168;Atp1a2;0.004199;Arpc1b;0.000065;Clip3;0.000805
Spata18;0;Plxnb1;0.002143;Smarca2;0.002983;Cdkn1b;0.001545;Gm5424;0.000482;Tbc1d7;0.003334;Chtf8;0.00428;Sh2d1b1;0.000065;Adamts8;0.000805
Spef2;0;6030458C11Rik;0.002143;Igip;0.003049;Bend4;0.001593;Scd2;0.000491;Tlr8;0.003334;Wdr5;0.00428;Sirpb1b;0.000071;Pik3ip1;0.000895
Fhit;0;Stx19;0.002143;Armcx4;0.003117;Tirap;0.001708;Epcam;0.000527;Gata5;0.003334;Adamts2;0.004402;Evl;0.000071;Cenpq;0.001001
Fitm2;0;Fahd1;0.00222;Acer2;0.003168;Mpp7;0.001731;Ubr1;0.000541;Glis3;0.003334;Tmem38b;0.004666;Coro2a;0.000072;Gm15446;0.001025
Foxj1;0;Pus1;0.002563;Tcf4;0.003241;Rai14;0.001765;Fam69b;0.000553;Phex;0.003334;Litaf;0.004754;Pkib;0.000072;Slc22a21;0.001041
Fsip1;0;Timm10;0.002563;Fas;0.00342;Serinc5;0.001777;Fzd8;0.000553;Zfhx2;0.003342;Nid1;0.004876;Wipf1;0.000076;Chn1;0.001125
Gad1os;0;Ppl;0.002671;Kdr;0.003492;Ints9;0.001815;Oat;0.000559;Drap1;0.003529;G0s2;0.005104;Fam105a;0.000085;Rcn2;0.001156
Glb1l;0;Dtna;0.002728;Jup;0.003517;Smim7;0.001842;Dpp9;0.00056;Pcmtd2;0.003533;Dpep1;0.005104;Gm14005;0.000087;Evc2;0.001208
Gm11992;0;Col4a6;0.003047;Gimap1;0.003665;Fam174b;0.001949;Atp6v1b2;0.000581;Traf2;0.003591;Prkab2;0.005147;1810033B17Rik;0.000092;Kpna4;0.001229
Gm166;0;Akap7;0.003196;Fam212a;0.004166;Erbb3;0.002144;Cst8;0.00061;Lemd3;0.003591;Ciz1;0.005245;Cebpb;0.000093;Ednrb;0.001256
