Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
SLC25A3,C20orf24,CCNB1IP1,ID2,AAK1,FABP4,RAC2,CAPG,ZEB2,CRBN,YES1,NR4A1,FAM107B,FAM104B
MARCO,ID2,IL20RA,EID1,RTN3,CLDN7,GKN2,SLC25A4,PEBP4,TSPO,ARGLU1,TNS2,DYNC1H1,MORN3
FNIP2,COX6B1,SEC11C,PRSS23,LAMP2,VAPA,NPC2,CTTN,CXCL1,RAB32,KLF7,ARPC3,DSP,WI2-1959D15.1
MANEA,TNFSF13B,BAD,SNX2,HSP90B1,TKT,SDCCAG8,FTL,MNDA,MAOA,S100A11,TCEAL4,CTSB,KIAA1841
SDC1,TAGLN2,COX14,RNF13,IFI6,TREM1,BOLA3,GNB4,ATP6V0E1,DNAJC9,FERMT2,HLA-DQA1,CNNM4,SMIM6
VOPP1,NDUFA1,RPL9,SLC2A3,RNF145,GCHFR,SLC2A6,ALPL,LY96,INHBA,SOCS2,SPSB1,SELENBP1,LRRC34
LYZ,LSM6,C9orf152,NFKBIA,RNASET2,RAB1A,DMKN,SFN,PTPRU,ADGRF5,GBP4,AIF1,VEPH1,EPPK1
SMS,DRAM2,PRKCZ,PTPN13,GNG2,LINC01272,RAB13,GCLC,STXBP2,MTCH1,ACP5,CD52,TMPRSS2,KIF3A
SPI1,RHBDD2,PDZK1IP1,TREM2,ARF4,LAMP2,IER2,GSTA4,RP11-1143G9.4,PON2,RCN1,LTA4H,UNC13B,GSTA2
DYNLRB1,C19orf60,BFAR,ASAH1,S100A4,ARHGAP30,PEG10,SUSD2,HCST,POLR2L,SCD,SFTPB,SEPW1,TTLL7
TPM3,GAPLINC,ARHGEF12,ZDHHC21,FABP4,FNIP2,SLC25A4,CLEC2B,SPINT2,FCGR3A,IL4R,CTSF,STOM,INHBB
NUCKS1,BSG,EPHA2,OSCAR,TEX9,EPAS1,HINT1,SESN1,RHOD,TXNDC17,HLA-DQB1,ROCK2,AIF1,MYB
FGGY,GS1-600G8.5,AHCYL1,DSG2,SLC39A8,PLXDC2,TANC2,CYBB,CHD3,LIMD2,C4orf32,C1QB,PDXK,MPDZ
FAM200B,UBE2E2,POLR1D,AKR1B1,AHCYL1,PCBD1,PSME1,AQP1,CALM1,C8orf4,BCAR1,UAP1,KCNS3,CEP83
HNRNPA1,RAB7A,EBAG9,SERPINH1,PARP1,GNS,SH3YL1,NACA,PPP4R1,C3,EPB41L4A,SEMA3C,LGALS3BP,WDR49
PIGR,CD4,SLC46A2,GLDN,TM4SF1,GPR183,ARFGEF3,FILIP1L,FCGRT,COLEC12,HLA-DPA1,RND3,CTSC,DCDC2B
MCEMP1,SSB,TACC1,XIST,FNDC3B,SCARB2,BST1,AQP4,COL1A1,PHLDA3,JAG1,ACSL1,MYL6,TMEM212
S100A9,DSE,DSG2,PTPN6,GRN,CTSL,PREX1,DBNL,SLC7A7,MACROD2,BST2,FOXO1,PPP4R1,C11orf74
RBMS1,SYK,UNC13B,TBXAS1,TFRC,PTGER2,RHEB,ARID5A,FGFBP1,ARGLU1,HLA-DPB1,S100A11,HLA-DQA1,SUDS3
SOD1,PDE4DIP,ACP1,RNF149,BNIP3L,INHBA,PARM1,FGD2,S100A14,AZI2,TPM1,DMD,RPS18,IQCE
MRC1,SERPINA1,GPRC5C,SIRPA,ERLEC1,SLC9A3R1,C3,ITM2B,RHOA,PECAM1,CPM,ZBTB16,CLTB,IRF6
PGC,IFIT3,CYP1B1,LEPROTL1,GLRX,MS4A4A,HSBP1L1,TTN,SMAD5,CCNI,ITGA10,SLC34A2,SBDS,ATXN7L3B
RPS10,PARVG,TRIB3,RAC2,CD46,SLC38A1,COLEC12,C11orf96,BRI3,CTSB,RBM47,CXCL16,EMP3,NET1
UPP1,BLVRA,GNB2L1,MT-CO1,GPRC5A,DRAM1,PSTPIP2,ARPC4,FCGR3A,ITGB2,TANC1,ACTG1,SMARCA1,PBX1
DNAJC1,CD86,SAR1A,DUOX1,CTSZ,CBLB,BIN2,LAMP1,COX17,ATAD2,ARID5A,ZFP36L1,GAB1,ORAI2
CELF2,PAK2,STAT3,PDZK1IP1,ARL4A,PIP4K2A,FN1,CREM,CTSZ,MCL1,MEF2C,BRI3,S100A10,MUC16
MT1E,MT-ND2,IRF2BP2,DMKN,TREM1,OCIAD2,BID,ETV1,MTRNR2L1,TGFBI,ACSL1,HSPB1,PRR15L,ZC2HC1A
ARL6IP5,KYNU,SLC1A5,AKAP1,PTTG1IP,ADGRF5,SEPW1,TNFAIP8,SH2D3A,CLEC7A,SLC26A2,CPM,RPS9,CTD-2015H6.3
SPINT2,IQGAP2,PPP2R5A,RERE,WFDC2,VAMP8,IRX3,HLA-A,CYP27A1,ARHGAP15,NFATC2,CBLB,WDR34,CMTM4
TFRC,LGALS3BP,FADS2,S100P,RDX,SMAP2,PERP,RPS10,ITGB2,SELENBP1,TPST2,RNF24,CTNNBIP1,ENKD1
PCBP1,CAPZA2,KRT10,COX4I1,PTMA,COX17,CNN3,SPTSSA,RHOC,SLC7A7,NQO1,MORF4L2,RPS27A,PIP
LAMP3,GK,RPL14,UBE2E2,CTNNA1,LRRK2,F11R,COBLL1,CDH1,TYMP,PTTG1IP,TSPO,CGNL1,PCNXL4
SNX10,MDH1,SREBF2,PLEK,LDLR,CAPZB,ZNF385B,KYNU,IGSF6,HN1,MS4A7,NR4A3,SAMD4A,Mar-10
TNFRSF1A,IFNGR1,GPD1L,MMP19,HIST1H1E,SPTSSA,IL17RA,SARAF,FAM60A,AVPI1,KLF4,SPTBN1,FAU,FAM161A
IFITM2,TRIM22,GSPT1,TMBIM4,HMGN3,CCND3,MAST4,RAB25,CFD,EMP2,S100A4,TKT,MYL12B,CHST6
MT-CYB,PIK3AP1,ESYT3,MYO6,TKT,TFPI,AP2S1,TFRC,ATP2A2,FOLR1,MT-CO1,MRC1,FAM83H,C1orf87
PTP4A2,OSBPL11,MRC2,FERMT3,FASN,CTNNA1,CD63,PCOLCE2,NCF2,CHMP4B,GSTP1,AHNAK,APP,CYB5D1
RBM47,FYB,GADD45G,Mar-01,MAL2,IGKC,RPS6KA2,ERRFI1,TNRC6B,RETN,CYBA,ARPC2,RPL32,SLFN5
TACC2,TWF2,SYT15,ARRB2,SMARCB1,ITGAL,LCP2,RP11-598F7.3,SPRY1,HBEGF,CSRNP1,WBP5,NPC2,ABCA13
ADGRF5,CCDC109B,ADK,HLA-E,ATP5I,C2,F3,TMEM245,ATP6V1F,NNMT,SORBS2,GAS6,ALOX5AP,LRRC71
CXCL2,PHLDA1,ARPC5L,CXADR,KRT18,SSR2,TPI1,MPZL2,PGC,STMN1,TSTD1,CBX6,RPLP1,MYEF2
LAPTM4A,DOCK2,RDH11,PABPN1,CYP27A1,MZT2A,SAMHD1,PPARG,RPL22L1,SCPEP1,MESDC1,NAPSA,ID3,GRIN3B
PFDN2,PMP22,S100A16,FLRT3,MGLL,ELF1,CXADR,DRAP1,RAP1A,GNG5,WARS,SFTPA2,MAP1LC3A,RIBC1
TREM1,TOMM40,CPM,STX11,ITGA4,PPIC,ALOX5AP,IDH2,ITGAV,AGR3,AIF1,NFIA,MMP28,BCO2
IFNAR2,CBX3,SNHG18,LSR,KRT8,NAMPT,CYP4B1,CD55,LAMP3,DDX21,CTSC,MAP4,SLC12A4,KLHDC9
HMGN3,RAB5C,ABCC4,CYTIP,MALL,ATM,MAP3K13,MAST4,SOBP,FPR1,CD151,ALCAM,C1orf162,FSTL1
IFNGR1,GPR65,TJP1,ST6GAL1,EIF1,TRGC2,DHRS3,SDC1,C2,FAM177A1,AQP3,ALOX5AP,RPL7,CFAP57
EIF4G2,FAM49B,SLC12A2,AC090498.1,GRINA,PRDX1,PTPMT1,SLC4A7,GLIPR2,SLC9A1,CPE,SPI1,WWC1,IGF1R
ATP5J2,MYO9B,ARPC1A,RP5-839B4.8,IL6ST,THBS1,TACSTD2,ARHGAP18,NOP10,SLC31A2,ACTG1,SYNGR2,GNG12,CCDC65
SNX3,EMILIN2,AC090616.2,CLEC12A,FGGY,ACTG1,OCIAD2,DUOXA1,PECAM1,TNFAIP8,CXCL16,NOTCH2,LRP5,ANKMY1
MAL2,USF2,SNHG8,SELPLG,THBS1,BTF3,GBP2,EFNA1,SMCO4,MBIP,MACF1,VSTM4,PLS1,TRIM29
ATP6V0B,GNB4,SAT2,HIST1H4C,SMIM4,RP11-1143G9.4,LIMA1,MET,HSPG2,MSMO1,ACTN4,ACTN1,CSTA,ICA1L
ABCA3,ASAP1,WASL,RGS10,IQGAP1,DYNLL1,ALDH1A1,RBPMS,RPL14,TNFAIP3,RDX,TACC1,FXYD5,SLC25A29
LINC01272,TMEM38B,MRPL33,FCGR1A,RPS13,NFIC,FAM49B,EMP3,DPYSL2,F3,NKTR,SLC25A5,MPRIP,CASZ1
THBS1,STX4,LRP2,FHL1,APOBEC3G,ASPH,TMEM243,MYO1B,CNN2,PLD3,CD52,JUNB,USP54,SCAMP4
C2,PLEKHO2,C1GALT1,TRAF4,MPST,RPS27L,IRF1,LY6E,INADL,AP2S1,BCAM,CD68,DTX4,NME7
ACTN4,P2RX4,RPS20,RGS19,ERAP2,AIM1,PILRA,YBX3,TIMP2,HHIP,LPL,IER3,RPL30,LINC01571
STXBP2,IRAK3,AUTS2,FARP1,BLVRA,PTP4A1,SHKBP1,DNMT1,IFI6,IFI6,FRY,C1QA,TBC1D2,CIPC
SMCO4,CLIP4,KANK1,NAMPT,DCXR,IGSF6,PSMB8-AS1,COX4I1,AP2S1,ADRB2,LDHB,CTSZ,RPL6,HS3ST1
PKM,AKR1A1,TCEAL8,MIR3945HG,FCGR2A,ATP6AP1,MMAB,EIF3K,DUOXA1,POR,ALOX5AP,S100A9,DAPK3,DSTN
CAPZA2,HCAR2,PPP2CB,NCF4,ABCA3,SFTPD,RRAGD,PICALM,COMMD6,GPR34,CD68,PLS3,ARHGDIB,CTA-363E6.2
RBX1,ARHGAP30,C1orf116,TRPV2,UQCR11,CXCL2,GPR183,TCEB2,MT-CO2,CORO1C,CAPG,PHLDA1,CD52,FLNB
BCL2L11,TMEM251,CCDC69,CARD16,COX8A,SMIM14,COPRS,EVI2B,ARHGEF12,IFITM10,GNG12,RBMS1,RDX,PHTF1
CYP27A1,DNAJA1,IGFBP4,NDUFS7,SPATS2L,LAMP3,MIR4458HG,CAV1,RSRP1,TRIB1,CYB5A,PNRC1,MYH9,MT-CO2
ANXA11,SLC31A1,CDKL5,NPNT,ALDH1A1,NPM1,SYNE1,JUND,SMCR5,MTUS1,PDLIM5,MARCO,N4BP1,RP11-193M21.1
KRT18,H2AFZ,CYR61,ABCG1,RASGRP2,MNDA,HMGN3,CRB3,PDE7A,SHTN1,SLC34A2,GRN,NFIB,RP11-242D8.1
COX17,HLA-E,GUCY1A3,MS4A6A,MPC1,ARID5B,TREM2,C12orf49,GNG12,CTSC,CDC25B,SH3PXD2A,SPI1,PRR15
AQP3,CD33,PTRF,LRRFIP1,LTA4H,MALL,KLF5,MMAB,RBBP8,LRP1,UGCG,KLHL42,SERPINA1,STX2
CHMP3,CASP1,CCDC14,FAM89A,ABHD2,PPP1R18,GLDN,SNX25,LUC7L3,SH3BP5,MAP3K11,C1orf162,SLC39A13,TTLL9
CPEB4,FLVCR2,RARRES3,HDGF,ASPH,PDCD4,TPD52,HSBP1L1,GYPC,TGM2,CD109,TSC22D1,QKI,TP73
WFDC2,WIPF1,ZNF593,KCNAB2,VKORC1,PGC,DDIT4,HSD17B6,TJP1,LMO7,PXDC1,HLA-DMB,PPP1R12C,ZNF487
LAPTM5,VMA21,ACACA,SQRDL,RGCC,SH3KBP1,CACNA2D2,MALT1,MS4A4A,GPRC5A,NPR1,STXBP2,S100A16,PDLIM4
ASPH,AKR1C2,RCN2,SAMHD1,HDLBP,SLC7A7,RNASE1,H2AFY,ABCA3,CHCHD10,C1QB,SFTPA1,AK1,RP11-395B7.4
CTSL,ARPC4,LAD1,KIF22,ANKRD28,S100A9,AQP9,PLIN2,RBFOX2,MYOF,GIT1,LST1,ESRP1,LAMC2
ATP1B3,SAMD9L,ZDHHC21,GCA,RBMS1,EIF3F,NCOA7,ARL4A,EEF2,CD151,MLPH,MALAT1,NACA,CCDC64B
MALL,SIDT2,GJA1,DUSP1,IGSF6,CCDC167,HHIP,PRMT2,TMA7,CSF3R,PLXNA2,SFTA2,CSRP1,EXPH5
FASN,ZFP36L2,MYO5C,IFT57,KCNN4,PREX1,MPST,HPGD,PTRF,GPX4,C1QA,MLPH,SOX4,KCNRG
FAM96B,MT-CO2,TOB1,HBEGF,XIST,CFD,LAMP1,C3AR1,FGR,SMIM14,PLS3,TNFRSF12A,BCL2L1,LINC01513
SPG21,AHNAK,C7orf55,FKBP5,DLC1,GABPB1-AS1,TMEM167A,IRX2,AUTS2,ALPL,FKBP9,CD163,VPS37B,CEP41
COX7B,UQCRH,HACD3,DOCK8,CFD,AGR3,IFNGR2,HMGCS1,RPL31,RMDN3,MSN,VSIG4,LPP,EPB41L4B
PDLIM1,CALM1,CACFD1,H1F0,PLAUR,FN1,COBLL1,RHOB,ODF2L,DNAJA1,EPB41L2,LRRFIP1,RPS3A,NQO1
ITGB1,PLD3,TCF7L1,NDUFB8,AGR3,DUSP6,JAML,RB1,RPSA,WBP5,MYO1C,CD53,IDS,DHX40
ANKRD28,LAT2,IER2,EIF3K,SLIRP,APOBEC3C,HDLBP,STEAP4,DUOX1,ID1,FOXP1,MSR1,DOCK4,CASC2
QSOX1,OAS1,ESRP1,TPP1,H2AFZ,RASGRP2,BLOC1S1,BNIP3,HNRNPH1,THBD,CDKN1A,UGDH,SH2D3A,APPL2
LITAF,NDUFB2,RPL7,ADAMTSL4,RAB30,TCF7L2,AQP1,NCKAP1,HMGN3,APP,CMIP,PDK4,HLA-DRB5,PPP1R14C
SRPRB,MINOS1,C14orf132,AGRP,BTF3,SYNGR2,C12orf49,IFNGR2,ITGB8,TRAM1,NOTCH1,RP11-1143G9.4,IGSF3,IFT46
RP11-138A9.2,PTGER4,CA12,LIPA,FCGR3A,S100A10,PGK1,NFIX,IGFBP4,SOCS3,HLA-DQA1,JADE1,GMFG,IQCA1
SDR16C5,KLHL6,PRDX6,GPRIN3,PRDX6,ARL4A,DRAM1,NAGA,CITED2,MT-CO1,TUBB6,CREB5,UBC,TTC21B
EMP2,ERP44,ERP29,ITGAX,SYTL1,MYOF,FKBP1A,CCL18,N4BP2L2,ADIRF,EHD4,LXN,ATP2B4,MFSD6
RILPL2,ITGAM,PRR15L,PPP4R1,C4BPA,KRT8,HSD17B12,UBB,BCL2A1,JUND,DUSP5,SLC39A13,PLIN2,PITPNM1
REL,XAF1,SNRPF,UBE2H,PLCG2,RDX,TTN,GPR65,MCTP2,UBC,HTRA1,CAPG,P4HA2,WDR19
TBCEL,STX11,ECH1,TMSB10,RP11-1143G9.4,MT-ND3,Sep-11,S100A16,NDUFB2,CAPN2,NFATC1,VAMP5,WBP5,SMIM5
RP11-386I14.4,PLEKHB2,PTP4A2,CD83,SDR16C5,PGD,TMED2,WSB1,ARHGDIB,PILRA,PCGF2,CHSY1,MRC1,GIPR
HIGD2A,RTN3,FAM20A,RAB25,MS4A4A,C10orf54,HACD3,FAM89A,PTPRK,ABCC1,STXBP2,INAFM1,PRDX5,COBL
HNRNPA2B1,PLEKHA2,TST,PARVG,TNFRSF1A,MAL2,SNHG7,PDE4D,HEXB,LY86,AHNAK,PTPRG,ACTB,EFHC2
PTMS,LMNA,TTC39A,NRP2,RAB31,EPHX1,AQP4,ID2,CBLB,MPZL2,PHACTR2,SLC11A1,NHSL1,BAIAP2L1
TALDO1,SLC16A10,ATP2C1,CD300LF,TRAM1,CYB5R3,IFNGR1,RMDN3,C5AR1,TCEB2,NCKAP1,SFTPC,DUOXA1,HMGN5
CREG1,CYTIP,SMARCA5,TSTD1,QKI,CYBB,NUDT16,BID,DHRS3,LMO3,IFITM1,CXCL17,RPS25,RARRES1
UBXN1,MITF,COX6C,LDHA,ATOX1,SSR3,GFPT1,SYNE1,BAIAP2,PROCR,FRYL,METTL7A,CD53,C1orf168
EML4,SQRDL,CYP4B1,SCD,KDELR2,RNF13,JUND,PARD6B,ASH1L,UQCR10,CDC37,MCEMP1,AES,GNA11
ADIRF,PLA2G15,RPL10A,VEGFA,CLDN18,WFDC2,IFI16,MIS18BP1,PHF14,CYBB,MYL9,CD9,VSIG4,FAM13A
OLR1,CSNK2B,EDNRB,UGCG,LRRK2,PLIN2,MPC2,CDS1,FOXK1,S100A11,SFTPA2,GYPC,HOMER1,PKIB
RPL7A,ATP6V1E1,RPS17,PEG10,CORO1C,COMT,NNMT,COX7A2,SEC11C,LEO1,TKT,TREM1,LST1,ABCA5
CELF1,YWHAB,DPP4,PRELID1,GABARAPL1,PEBP4,SLC39A8,H3F3B,RGCC,AQP1,ETS2,EVI2B,BAIAP2,ECT2L
LIMS1,ANXA11,CAT,FPR2,SEC61B,AGR2,CLEC4A,CRTAC1,OAT,LDLR,FOSL1,AQP3,RBFOX2,SRD5A2
AKAP13,PSME1,LRP6,SLC39A6,CAT,CLDN18,CYB5R3,MGST3,SLC39A8,ATP6V0D1,DDIT4,SEPP1,SYT15,ARHGAP32
PPIC,MAP2K1,ANAPC16,LCP2,PCBP1,LGMN,ERRFI1,HACD1,CTNND1,ZDHHC3,SERP1,ATP6V0B,CD37,AGBL2
HMGN2,DNASE2B,DPM3,CES1,PTP4A2,TACC2,LDLR,VEPH1,SFTA2,IL13RA1,CSTA,TMEM176A,RCAN1,MTSS1L
ABHD2,BNIP2,RPL41,MSLN,RNF149,ARID4B,EFNA1,ITPR3,PABPN1,PEG10,SFTPA1,GMFG,SNAP23,MAK
ATP5G3,WDR1,KCNK1,NDUFB9,YWHAH,MFSD1,MALAT1,SNTB1,RPLP0,ERRFI1,TMCC3,QSOX1,CD163,OCEL1
GNB2,BTK,RAP2B,SOAT1,COX7B,TSPYL2,UPP1,RPS6KA2,TM7SF3,BHLHE41,FABP5,PMEPA1,RASSF8,ZBED5-AS1
C19orf70,GPX3,MBD2,CD86,TMEM30A,SORT1,PMM1,PTPN13,TBL1XR1,EPS8,UQCR10,CCND2,GPNMB,DZANK1
SLC25A6,UBA52,IQSEC1,TFEC,PON2,KLF4,CSK,C14orf1,APOE,TSPAN13,C1orf162,ALOX5,UXS1,ZNF273
GLIPR2,PAPSS1,ENPP4,LACTB,PARP15,FMNL1,ABCG1,DDAH1,SCGB3A1,CNST,HOPX,RAB11FIP1,PIEZO1,TTBK2
ALDH1A1,GABARAPL1,TRIM14,TGFBI,NUDT16,BHLHE41,SUSD2,IFI6,ADGRE5,PNPLA6,SFTA2,EID1,AGR3,TCTN2
FXYD3,RP11-356N1.2,GNB1,VAT1,LIMCH1,GSTK1,EBP,EFHD2,CLEC7A,LSP1,PDPN,LCP1,TMEM245,RHPN1
RAB5C,IFNGR2,MX1,CD4,FXYD3,MYO1F,SDC1,TUBA1B,ERBB2,ATP5EP2,OLFM1,SERP1,NFIX,KIAA1522
CMTM6,SH2B3,MT-CO3,CYCS,PHLDA3,DLC1,ENOSF1,SH2B3,PPP1R14C,HCK,SPI1,ITGAV,ARL4C,SLC22A23
POLE4,STAC,PLIN3,CNPY3,ATM,APRT,SFTA1P,PRSS8,CYBB,KLF4,BLVRB,CLDN7,TOR1AIP2,WDR93
CFD,PPP1R18,CD82,PFDN5,C16orf89,HCLS1,LYN,NPNT,SAMHD1,RHOA,CSF3,CD37,RPS8,DNAL4
RHOB,UBE2D1,PIP4K2A,AP1S2,C8orf4,NGFRAP1,FCGR1B,FLRT3,NFKBIA,CACNA2D2,GCHFR,PTPRC,ZC3H12C,SMYD2
GTF2H5,STX7,STX11,PSMB3,EPHX1,LEPROT,TMEM87A,FCGRT,COLCA1,PPIB,MUC1,SYNPO,SNX10,C1orf158
TIMM13,MAN1A1,NQO2,CA2,WIF1,C5AR1,CAMK1,MECOM,CLDN18,JAML,SFTPB,FCGR2A,GTF2I,IL20RA
TM4SF1,SECTM1,RARA,ZNF706,RPS9,PTMS,CTTN,PTRF,NUDT4,ATP1B3,NAPSA,H3F3B,OTUD1,NELL2
SH3BGRL,MAP1LC3B,TNS3,DUSP6,GSTO1,SLCO2B1,ALPL,XBP1,ACTB,SOD3,CST3,PARVA,ARHGAP35,DMD
MSMO1,FMNL2,AKR1A1,MAP1LC3B,NPM1,EPCAM,MACC1,MT-ND2,WLS,ADAM17,NMT2,PDLIM2,MSR1,CFH
RPL23A,VDAC2,CSNK2B,MAP3K8,RHOF,IL13RA1,ETV1,SECISBP2L,HN1L,CRNDE,SRP14,HOPX,LCP1,SHANK2
CTSZ,ADTRP,ADAM10,HN1,ATP6AP1,VAT1,CDH1,MTDH,AES,LIMCH1,LGALS3,PYCARD,EVI2B,LRIG1
DRAM1,NDUFS5,EGR2,RBP4,TCF7L2,EMP3,RP11-598F7.3,PCBD1,EXPH5,AGR2,APOE,CFD,TSPAN4,RP11-368I7.4
SFTPA1,ACE,HIPK2,CNN2,PLXDC2,HSPB1,ENO1,TCEA3,SPN,IFI30,SLC44A2,CCDC85B,CSTB,TP53BP1
SUMO3,RAC2,IL10RB,MZT2B,TMEM14C,SDCCAG8,PCOLCE2,PLS3,TRIM56,ZYX,LGALS3BP,ATP1B1,CELSR1,ST5
LIMCH1,SNTB1,RAPGEF1,IRF8,PPDPF,SNX10,CECR1,CHP1,CYB5A,UBXN1,MSR1,TLE1,PXN,LKAAEAR1
RAP1A,USMG5,COX4I1,PSMB9,POMP,SELENBP1,CALU,CAV2,LAIR1,PGD,MAP4K4,SFTPD,SH3RF1,ODF2
HIST1H1C,IL1RAP,NPL,ZYX,C1orf43,SGK1,STMN1,TMEM41B,INHBA,CKB,ASRGL1,MUC1,OSMR,COL21A1
GPRC5A,SNRPB2,CHMP4A,RASGEF1B,LIMS1,ANXA4,HYI,MFSD1,SKAP2,ANTXR2,ARHGAP31,TUBB2A,MGAT4B,PIH1D2
SSR3,UCP2,S1PR4,VEZT,CYBA,PHACTR1,TMEM41B,OCLN,MRPS15,CALR,MCTP1,FCGR3A,PTPRC,ERICH6-AS1
LEPROT,TCEB1,USF2,ADAM17,LINC00998,FGGY,PPA1,ARL6IP5,ALDOA,GPNMB,SDC4,ATP6V1F,PALLD,PPP1R32
IRS2,ROCK1,NAGK,INSR,ACSL4,LY96,TMEM14C,DUSP1,SLCO2B1,TMEM243,GPX1,IGSF6,SLC11A1,SYNGAP1
FABP4,CSGALNACT2,ATP5G2,FUOM,MBIP,WSB1,RP5-839B4.8,TMEM87A,CPM,TMEM176A,C1QC,C1QC,ATP9A,CROCC2
SNRPG,ENPP4,IKZF1,LILRB3,EPCAM,BUB3,GLO1,PSMB9,BLVRB,TMEM125,ACTN1,LINC01272,TACC1,P4HA2
DUOX1,ETHE1,TNFRSF14,HMOX1,PPIC,FXYD3,B3GNT7,TMPRSS2,NUCKS1,YAP1,CHCHD10,LIMCH1,SPINT2,ANKRD54
MRPL33,NUCB1,CSGALNACT2,HAVCR2,KCTD12,BNIP3L,SLC38A1,SH3YL1,PTPN3,LDHA,MOB2,SMIM3,TMCC1,CCDC190
SAMHD1,TNS3,NTAN1,ST14,UBL5,EMP2,EI24,LIPH,BAG3,ELF3,TNFRSF1A,CKAP4,RPL9,ARHGAP39
HMGB1,COX5B,LPCAT2,AKIRIN2,MRPL33,QSOX1,ARPP19,SLC22A31,MAP3K8,ARID5B,EZR,ARHGAP29,RBPMS,LCA5L
AGR3,BRI3,IFIT3,GK,LGALS1,C16orf89,VEGFB,COX17,THEMIS2,C11orf96,RPS20,RHOBTB3,ZEB2,ANKRD26
CTNNA1,MMD,RP3-460G2.2,ARHGDIB,NDUFC1,STX7,SLC25A37,ZFP36L1,MYL6,IFT57,ALCAM,PTMS,NCOR2,ZSCAN18
RHEB,TCIRG1,PTMA,PGD,HSBP1,SMIM22,UQCRQ,BCAM,DOK2,C20orf24,BAG3,AGPAT2,LINC00657,GAS2L2
AHCYL1,KMO,METRNL,DRAP1,GLIPR2,AK1,RBPMS,MGAT4A,SLA,ARPC2,HLA-DMA,DHCR24,C1QA,SYTL2
MNDA,FGD2,AKR1C2,VASP,NAP1L1,SIGIRR,C3AR1,C5orf38,NCKAP1,HMOX1,EVI2B,TXNIP,EEF1B2,PLEKHG7
PLEKHB2,LSM10,TBC1D10C,CD36,SLC25A5,CANX,TTC3,IL2RG,TFRC,KRT7,HSPB1,CTNNAL1,MEGF9,B9D2
PTP4A1,OASL,TMEM70,CD14,ATP11A,WWTR1,MYO1B,CADM1,FOS,NKX2-1,WBP5,ID3,PFKFB3,ARMC2
C16orf89,NDUFB1,TAPBP,MPP1,SWAP70,MTUS1,HSPH1,HHIP-AS1,CTSL,PTPRE,CD53,KITLG,PRKAR1A,EPN2
CSF3R,HSD3B7,PRMT2,RAP1A,WSB1,PEBP1,BST2,MID1IP1,PBX1,IRX3,PROCR,AXL,PACSIN3,NHLRC4
TMEM14C,MKNK1,RNF144B,ARHGAP30,SELENBP1,LPCAT1,PGAM1,CXCL3,ARPC5,ATP6V1B2,GPNMB,SORBS1,ADCY9,C2orf81
CISD3,PDCL,YWHAB,HHIP,REEP3,HEXB,GPX3,PTAFR,GSTO1,RHOBTB2,LCP1,SFTA3,LINC01272,KCNN3
NUDT16,SPNS1,STX4,ACSL4,NDUFB9,SERP1,ATPIF1,NEBL,RNH1,RCSD1,NASP,NCF2,ABO,RP11-446N19.1
ACTR2,GPI,MINOS1,WIPF1,FAM120A,IL18,PTPN13,NTN4,PLAUR,KLF5,MT1E,PTK2,LY96,AC009502.4
RNH1,PSMA4,MIR4435-2HG,PSMD8,SORT1,ATP1A1,DUOXA1,RAI14,CAPN1,SH3YL1,SLC11A1,DAAM1,LAPTM4B,FAM27C
MBIP,TMEM230,IL13RA1,C3AR1,ANAPC11,HSD17B4,BCL2L1,BLVRB,LMO3,CXCL3,PNP,PCSK7,OLR1,CTD-2270L9.4
DLC1,PTPN12,MKNK1,ISG15,PABPC4,C5orf56,GTF2I,FAM213A,LMO7,ACAT2,TGFB1I1,SLC40A1,RPL18A,SLC22A4
LDLR,MT-CO1,MOB3B,LPP,MAOA,METTL7A,RAB25,CDH1,CCDC88A,ATOX1,JUNB,GAS7,MRPL33,GAS8
CTSB,UQCR11,OAS1,TBL1XR1,CHMP4B,ATP6V1F,KRT7,LYZ,ASS1,DMKN,S100A9,NOP10,MARCO,IFT80
CD46,ACSL1,IVNS1ABP,TNFSF13B,PFDN5,GTF3A,AKAP9,EIF3F,GPNMB,PGK1,CD37,KIAA0040,TAX1BP3,CCDC24
TMEM219,ADAP2,CAPZA2,FOS,CADM1,C4BPA,RP11-532F12.5,COLEC12,NUPR1,CES1,SLFN5,PIGR,APOE,SLITRK6
TGOLN2,APOL6,TBCB,ATP6AP2,STK17B,PLAUR,IL6ST,PMM1,DDX17,CD59,ATP6V0B,PDLIM5,RPS6,PPOX
PPT1,PBDC1,UQCRH,SLC15A3,RUNX1,MGLL,AGPAT2,VAT1,SLC31A2,CPVL,LST1,TSTD1,C1QC,FSD1L
IL18,IFI16,CMTM3,GLUL,PEBP1,CPEB4,HMGCS1,ACTR3,PSAP,MYO1B,LAPTM5,NFIC,YAP1,FAM83H-AS1
ZEB2,ABCA1,ADAP2,CTSC,LRP1,GM2A,RNF149,GDF15,ERBB3,IL6ST,CREB5,SOD2,YPEL3,FBXO15
PDIA4,SLAMF8,APOL6,LAT2,CYB5R3,PDK4,GSN,SQSTM1,PPARG,DOK2,HNMT,PLA2G16,BOK,RHPN2
